round,x1,x2,x3,x4,x5,x6,x7,x8,output
round_1,0.76902,0.176505,0.703712,0.657353,0.054712,,,,-0.7490058572727898
round_2,0.671999,0.289463,0.668679,0.702657,0.176921,,,,-0.4741638070097645
round_3,0.636006,0.393028,0.62302,0.696337,0.268322,,,,-0.4965196715883267
round_4,0.666481,0.30283,0.661461,0.702577,0.188701,,,,-0.4803907033317801
round_5,0.958705,0.006852,0.925718,0.131658,0.988036,,,,-2.730461570349955
round_6,0.67294,0.289665,0.668425,0.702364,0.176367,,,,-0.4410041023241501
round_7,0.673759,0.289092,0.668329,0.703226,0.175417,,,,-0.4039466815510615
round_8,0.683627,0.298849,0.664131,0.712966,0.165463,,,,-0.4147947506697665
round_9,0.682177,0.27937,0.658857,0.696708,0.184949,,,,-0.5007921224878797
round_10,0.668301,0.298549,0.660361,0.693851,0.165712,,,,-0.5416136313740908
round_11,0.683221,0.29834,0.678117,0.697005,0.181095,,,,-0.4954890700491567
round_12,0.674092,0.28992,0.668841,0.703781,0.175672,,,,-0.4515045531048478
round_13,0.674119,0.288605,0.668024,0.702245,0.175134,,,,-0.5284569548386657
