round,x1,x2,x3,x4,x5,x6,x7,x8,output
round_1,0.198798,0.726504,,,,,,,-6.305542907905346e-100
round_2,0.445446,0.303395,,,,,,,4.813076308634642e-13
round_3,0.444191,0.307902,,,,,,,-4.979785894490907e-11
round_4,0.445195,0.304296,,,,,,,-1.7649577111435184e-12
round_5,0.575254,0.299991,,,,,,,2.965084089300254e-28
round_6,0.445321,0.303846,,,,,,,-4.440564049296916e-13
round_7,0.444599,0.303955,,,,,,,-7.914150613640869e-13
round_8,0.445604,0.303154,,,,,,,8.35898933162676e-13
round_9,0.445721,0.302739,,,,,,,1.2903240953085642e-12
round_10,0.445279,0.302605,,,,,,,1.4924139047427462e-12
round_11,0.445727,0.303103,,,,,,,8.8917080276942e-13
round_12,0.445148,0.302635,,,,,,,1.491812395149497e-12
round_13,0.445557,0.302343,,,,,,,1.6273650278054654e-12
