round,x1,x2,x3,x4,x5,x6,x7,x8,output
round_1,0.127236,0.19947,0.067437,0.247566,0.856991,0.315391,0.050977,0.60213,9.8946869757755
round_2,0.12031,0.200453,0.105415,0.241921,0.753752,0.441297,0.138017,0.66839,9.973699780926
round_3,0.14087,0.228265,0.099817,0.212563,0.669446,0.40084,0.184004,0.570658,9.9649339881526
round_4,0.129405,0.206954,0.114264,0.249088,0.749611,0.447276,0.147632,0.668342,9.9744644134211
round_5,0.004234,0.66977,0.157763,0.138574,0.911262,0.388676,0.146649,0.567173,9.6846709187121
round_6,0.119894,0.200186,0.105327,0.242491,0.753151,0.441325,0.138202,0.667483,9.9736754159016
round_7,0.119941,0.200687,0.105665,0.242427,0.752561,0.441307,0.137947,0.667438,9.9735901784531
round_8,0.11024,0.208735,0.114702,0.239819,0.743868,0.431448,0.130348,0.661515,9.9712149562555
round_9,0.126563,0.208323,0.096474,0.232996,0.743743,0.451084,0.131212,0.660791,9.9711185951524
round_10,0.110666,0.191805,0.098029,0.252087,0.748396,0.447723,0.129412,0.675953,9.9699300363251
round_11,0.11667,0.190303,0.115293,0.233887,0.744185,0.448781,0.146874,0.658011,9.9799716596374
round_12,0.124427,0.186112,0.106596,0.243416,0.734802,0.439546,0.154236,0.648435,9.9769294180615
round_13,0.11693,0.191051,0.11431,0.23438,0.744811,0.447932,0.147187,0.65803,9.9797338893865
