round,x1,x2,x3,x4,x5,x6,x7,x8,output
round_1,0.446319,0.455197,0.381146,0.470268,,,,,-1.4155620706392926
round_2,0.545496,0.488231,0.468331,0.507289,,,,,-4.518631418406592
round_3,0.541107,0.489528,0.486479,0.505504,,,,,-4.584492331251578
round_4,0.461081,0.460771,0.393283,0.472192,,,,,-2.293808141251407
round_5,0.38,0.4,0.34,0.42,,,,,0.3616564034843539
round_6,0.36,0.38,0.32,0.4,,,,,-0.3691761637804833
round_7,0.379144,0.399537,0.34,0.420358,,,,,0.364121982508593
round_8,0.369502,0.408216,0.349846,0.422972,,,,,0.6356114535467516
round_9,0.363653,0.39824,0.359405,0.432526,,,,,0.5491619136182213
round_10,0.361023,0.410726,0.339894,0.432266,,,,,0.4367551356905683
round_11,0.370118,0.40897,0.350437,0.422745,,,,,0.6429048046763346
round_12,0.368009,0.399029,0.358847,0.412761,,,,,0.6255716936279367
round_13,0.370669,0.409253,0.350881,0.421815,,,,,0.6496086060547062
