round,x1,x2,x3,x4,x5,x6,x7,x8,output
round_1,0.209186,0.596268,0.26773,0.666447,0.983048,0.935615,,,0.0108769681492073
round_2,0.227021,0.477592,0.322992,0.290027,0.4377,0.735253,,,1.5842054188635026
round_3,0.319776,0.462008,0.413965,0.36165,0.45031,0.744674,,,1.4601211595608088
round_4,0.244011,0.477261,0.329209,0.296709,0.442835,0.7365,,,1.5500119702598218
round_5,0.065652,0.782403,0.989472,0.204639,0.782236,0.040395,,,0.1031546055144725
round_6,0.226608,0.47805,0.322864,0.289582,0.438224,0.734279,,,1.5811225744310884
round_7,0.227402,0.479801,0.321921,0.290194,0.439637,0.733533,,,1.565663921674619
round_8,0.254731,0.429043,0.276112,0.260737,0.394633,0.689482,,,2.026443603557505
round_9,0.241535,0.410514,0.294651,0.277836,0.414016,0.67264,,,2.028364151942616
round_10,0.258036,0.427594,0.308916,0.25917,0.419276,0.654372,,,1.935205584328076
round_11,0.244264,0.393874,0.27526,0.292733,0.430452,0.657744,,,1.937057003895633
round_12,0.241536,0.410566,0.29528,0.277533,0.414065,0.671716,,,2.029102131258342
round_13,0.241985,0.410284,0.295099,0.277951,0.413597,0.671281,,,2.033160451533873
